2025-05-26 10:45:04 - SUCCESS | No BIDScoin errors or warnings were reported
2025-05-26 10:45:04 - INFO | 
2025-05-26 10:45:04 - INFO | For the complete log see: C:\Users\USUARIO\OneDrive - Universidad de Antioquia\2025-1\Imagenes_Medicas\TRABAJO2_PRUEBA\DATA\BIDS\code\bidscoin\bidsmapper.log
NB: That folder may contain privacy sensitive information, e.g. pathnames in logfiles and provenance data samples
2025-05-26 11:27:03 - INFO | 
2025-05-26 11:27:03 - INFO | -------------- START BIDSmapper ------------
2025-05-26 11:27:03 - INFO | >>> bidsmapper sourcefolder=C:\Users\USUARIO\OneDrive - Universidad de Antioquia\2025-1\Imagenes_Medicas\TRABAJO2_PRUEBA\DATA\raw bidsfolder=C:\Users\USUARIO\OneDrive - Universidad de Antioquia\2025-1\Imagenes_Medicas\TRABAJO2_PRUEBA\DATA\BIDS bidsmap=bidsmap.yaml template=C:\Users\USUARIO\.bidscoin\4.6.1\templates\bidsmap_dccn.yaml plugins=[] subprefix=None sesprefix=None store=False force=False
2025-05-26 11:27:03 - INFO | Reading: C:\Users\USUARIO\OneDrive - Universidad de Antioquia\2025-1\Imagenes_Medicas\TRABAJO2_PRUEBA\DATA\BIDS\code\bidscoin\bidsmap.yaml
2025-05-26 11:27:03 - INFO | Checking the bidsmap run-items:
2025-05-26 11:27:03 - SUCCESS | All run-items in the bidsmap are valid
2025-05-26 11:27:03 - INFO | Reading: C:\Users\USUARIO\.bidscoin\4.6.1\templates\bidsmap_dccn.yaml
2025-05-26 11:27:04 - INFO | Checking the bidsmap run-items:
2025-05-26 11:27:05 - VERBOSE | Could not validate every run-item in the bidsmap
2025-05-26 11:27:05 - VERBOSE | Checking the template bidsmap datatypes:
2025-05-26 11:27:05 - SUCCESS | All datatypes and options in the template bidsmap are valid
2025-05-26 11:27:05 - INFO | Mapping: C:\Users\USUARIO\OneDrive - Universidad de Antioquia\2025-1\Imagenes_Medicas\TRABAJO2_PRUEBA\DATA\raw\sub-0001 (subject 1/5)
2025-05-26 11:27:05 - VERBOSE | Executing plugin: dcm2niix2bids -> C:\Users\USUARIO\OneDrive - Universidad de Antioquia\2025-1\Imagenes_Medicas\TRABAJO2_PRUEBA\DATA\raw\sub-0001
2025-05-26 11:27:06 - VERBOSE | Executing plugin: events2bids -> C:\Users\USUARIO\OneDrive - Universidad de Antioquia\2025-1\Imagenes_Medicas\TRABAJO2_PRUEBA\DATA\raw\sub-0001
2025-05-26 11:27:06 - INFO | Mapping: C:\Users\USUARIO\OneDrive - Universidad de Antioquia\2025-1\Imagenes_Medicas\TRABAJO2_PRUEBA\DATA\raw\sub-0002 (subject 2/5)
2025-05-26 11:27:06 - VERBOSE | Executing plugin: dcm2niix2bids -> C:\Users\USUARIO\OneDrive - Universidad de Antioquia\2025-1\Imagenes_Medicas\TRABAJO2_PRUEBA\DATA\raw\sub-0002
2025-05-26 11:27:06 - VERBOSE | Executing plugin: events2bids -> C:\Users\USUARIO\OneDrive - Universidad de Antioquia\2025-1\Imagenes_Medicas\TRABAJO2_PRUEBA\DATA\raw\sub-0002
2025-05-26 11:27:06 - INFO | Mapping: C:\Users\USUARIO\OneDrive - Universidad de Antioquia\2025-1\Imagenes_Medicas\TRABAJO2_PRUEBA\DATA\raw\sub-0003 (subject 3/5)
2025-05-26 11:27:06 - VERBOSE | Executing plugin: dcm2niix2bids -> C:\Users\USUARIO\OneDrive - Universidad de Antioquia\2025-1\Imagenes_Medicas\TRABAJO2_PRUEBA\DATA\raw\sub-0003
2025-05-26 11:27:06 - INFO | Discovered sample: [DICOM] C:\Users\USUARIO\OneDrive - Universidad de Antioquia\2025-1\Imagenes_Medicas\TRABAJO2_PRUEBA\DATA\raw\sub-0003\Series0002_SAG T1 SE\Image (0001).dcm
